"","pp_no","condition","bin","bin_no","trial","muscle","rms"
"84","pp1","stimtype1","bin_8",8,"trial4","cheek",5.9105
"85","pp1","stimtype1","bin_9",9,"trial4","brow",1.5372
"86","pp1","stimtype1","bin_9",9,"trial4","cheek",6.9406
"87","pp1","stimtype1","bin_10",10,"trial4","brow",1.5408
"88","pp1","stimtype1","bin_10",10,"trial4","cheek",9.1255
"89","pp1","stimtype1","bin_0",0,"trial5","brow",2.366
"90","pp1","stimtype1","bin_0",0,"trial5","cheek",8.8387
"91","pp1","stimtype1","bin_1",1,"trial5","brow",2.2111
"92","pp1","stimtype1","bin_1",1,"trial5","cheek",6.7241
"93","pp1","stimtype1","bin_2",2,"trial5","brow",1.7588
"94","pp1","stimtype1","bin_2",2,"trial5","cheek",6.2674
"95","pp1","stimtype1","bin_3",3,"trial5","brow",1.629
"96","pp1","stimtype1","bin_3",3,"trial5","cheek",6.7585
"97","pp1","stimtype1","bin_4",4,"trial5","brow",1.6838
"98","pp1","stimtype1","bin_4",4,"trial5","cheek",12.4729
"99","pp1","stimtype1","bin_5",5,"trial5","brow",1.6566
"100","pp1","stimtype1","bin_5",5,"trial5","cheek",9.6164
"101","pp1","stimtype1","bin_6",6,"trial5","brow",1.9264
"102","pp1","stimtype1","bin_6",6,"trial5","cheek",12.6484
"103","pp1","stimtype1","bin_7",7,"trial5","brow",1.6068
"104","pp1","stimtype1","bin_7",7,"trial5","cheek",14.6687
"105","pp1","stimtype1","bin_8",8,"trial5","brow",3.9647
"106","pp1","stimtype1","bin_8",8,"trial5","cheek",21.6266
"107","pp1","stimtype1","bin_9",9,"trial5","brow",2.4339
"108","pp1","stimtype1","bin_9",9,"trial5","cheek",18.9262
"109","pp1","stimtype1","bin_10",10,"trial5","brow",1.4792
"110","pp1","stimtype1","bin_10",10,"trial5","cheek",8.7311
"111","pp1","stimtype1","bin_0",0,"trial6","brow",4.0129
"112","pp1","stimtype1","bin_0",0,"trial6","cheek",8.612
"113","pp1","stimtype1","bin_1",1,"trial6","brow",3.2095
"114","pp1","stimtype1","bin_1",1,"trial6","cheek",13.0962
"115","pp1","stimtype1","bin_2",2,"trial6","brow",2.2174
"116","pp1","stimtype1","bin_2",2,"trial6","cheek",7.5633
"117","pp1","stimtype1","bin_3",3,"trial6","brow",3.0214
"118","pp1","stimtype1","bin_3",3,"trial6","cheek",9.7195
"119","pp1","stimtype1","bin_4",4,"trial6","brow",2.2221
"120","pp1","stimtype1","bin_4",4,"trial6","cheek",5.9405
"121","pp1","stimtype1","bin_5",5,"trial6","brow",2.3399
"122","pp1","stimtype1","bin_5",5,"trial6","cheek",6.4061
