,Participant,emotion,role,muscle,meandiff,countgood,INOUT,response
88,17,NEUTRAL,Cooperator,CHEEK,0.287992084,2,out,NA
89,17,NEUTRAL,Novel,BROW,0.013539606,4,in,0.013539606
90,17,NEUTRAL,Novel,CHEEK,0.023211103,4,in,0.023211103
91,20,ANGRY,Competitor,BROW,-0.127815773,6,in,-0.127815773
92,20,ANGRY,Competitor,CHEEK,-0.136661724,6,in,-0.136661724
93,20,ANGRY,Cooperator,BROW,0.256826958,5,in,0.256826958
94,20,ANGRY,Cooperator,CHEEK,0.295254362,5,in,0.295254362
95,20,ANGRY,Novel,BROW,0.243192008,2,out,NA
96,20,ANGRY,Novel,CHEEK,0.24113289,2,out,NA
97,20,HAPPY,Competitor,BROW,-0.150158917,4,in,-0.150158917
98,20,HAPPY,Competitor,CHEEK,-0.009459106,4,in,-0.009459106
99,20,HAPPY,Cooperator,BROW,-0.214357019,3,out,NA
100,20,HAPPY,Cooperator,CHEEK,0.318415106,3,out,NA
101,20,HAPPY,Novel,BROW,0.371850789,3,out,NA
102,20,HAPPY,Novel,CHEEK,0.032363423,3,out,NA
103,20,NEUTRAL,Competitor,BROW,0.04698901,3,out,NA
104,20,NEUTRAL,Competitor,CHEEK,0.316986257,3,out,NA
105,20,NEUTRAL,Cooperator,BROW,-0.071963096,5,in,-0.071963096
106,20,NEUTRAL,Cooperator,CHEEK,-0.268563595,5,in,-0.268563595
107,20,NEUTRAL,Novel,BROW,0.185294003,7,in,0.185294003
108,20,NEUTRAL,Novel,CHEEK,-0.14582613,7,in,-0.14582613
109,22,ANGRY,Competitor,BROW,0.134340719,8,in,0.134340719
110,22,ANGRY,Competitor,CHEEK,-0.002492637,8,in,-0.002492637
111,22,ANGRY,Cooperator,BROW,0.499689445,8,in,0.499689445
112,22,ANGRY,Cooperator,CHEEK,-0.267892336,8,in,-0.267892336
113,22,ANGRY,Novel,BROW,-0.081437604,8,in,-0.081437604
114,22,ANGRY,Novel,CHEEK,-0.155042015,8,in,-0.155042015
115,22,HAPPY,Competitor,BROW,-0.27179737,8,in,-0.27179737
116,22,HAPPY,Competitor,CHEEK,0.067413111,8,in,0.067413111
117,22,HAPPY,Cooperator,BROW,0.548556523,7,in,0.548556523
118,22,HAPPY,Cooperator,CHEEK,-0.284954181,7,in,-0.284954181
119,22,HAPPY,Novel,BROW,0.206125706,8,in,0.206125706
120,22,HAPPY,Novel,CHEEK,0.084525826,8,in,0.084525826
121,22,NEUTRAL,Competitor,BROW,0.245407905,8,in,0.245407905
122,22,NEUTRAL,Competitor,CHEEK,-0.041377773,8,in,-0.041377773
123,22,NEUTRAL,Cooperator,BROW,0.55574236,8,in,0.55574236
124,22,NEUTRAL,Cooperator,CHEEK,0.019747789,8,in,0.019747789
125,22,NEUTRAL,Novel,BROW,0.238013211,8,in,0.238013211
126,22,NEUTRAL,Novel,CHEEK,0.109208018,8,in,0.109208018
127,23,ANGRY,Competitor,BROW,0.039021853,7,in,0.039021853
128,23,ANGRY,Competitor,CHEEK,0.004099794,7,in,0.004099794
129,23,ANGRY,Cooperator,BROW,0.063385078,8,in,0.063385078
130,23,ANGRY,Cooperator,CHEEK,-0.326432042,8,in,-0.326432042
131,23,ANGRY,Novel,BROW,0.014747093,7,in,0.014747093
132,23,ANGRY,Novel,CHEEK,-0.037407806,7,in,-0.037407806
133,23,HAPPY,Competitor,BROW,0.367084968,7,in,0.367084968
134,23,HAPPY,Competitor,CHEEK,-0.32358158,7,in,-0.32358158
135,23,HAPPY,Cooperator,BROW,-0.100283774,7,in,-0.100283774
136,23,HAPPY,Cooperator,CHEEK,-0.175213219,7,in,-0.175213219
137,23,HAPPY,Novel,BROW,-0.143684638,6,in,-0.143684638
138,23,HAPPY,Novel,CHEEK,0.639053775,6,in,0.639053775
139,23,NEUTRAL,Competitor,BROW,-0.110687242,7,in,-0.110687242
140,23,NEUTRAL,Competitor,CHEEK,-0.641290847,7,in,-0.641290847
141,23,NEUTRAL,Cooperator,BROW,0.254451499,8,in,0.254451499
142,23,NEUTRAL,Cooperator,CHEEK,0.040749883,8,in,0.040749883
143,23,NEUTRAL,Novel,BROW,0.651163351,8,in,0.651163351
144,23,NEUTRAL,Novel,CHEEK,0.02003893,8,in,0.02003893
145,25,ANGRY,Competitor,BROW,0.321528227,7,in,0.321528227
146,25,ANGRY,Competitor,CHEEK,-0.57612205,7,in,-0.57612205
147,25,ANGRY,Cooperator,BROW,-0.216883049,7,in,-0.216883049
148,25,ANGRY,Cooperator,CHEEK,0.137703528,7,in,0.137703528
149,25,ANGRY,Novel,BROW,0.010510669,7,in,0.010510669
150,25,ANGRY,Novel,CHEEK,-0.058375681,7,in,-0.058375681
151,25,HAPPY,Competitor,BROW,-0.155719687,6,in,-0.155719687
152,25,HAPPY,Competitor,CHEEK,0.212168472,6,in,0.212168472
153,25,HAPPY,Cooperator,BROW,-0.30881915,4,in,-0.30881915
154,25,HAPPY,Cooperator,CHEEK,0.093791511,4,in,0.093791511
155,25,HAPPY,Novel,BROW,-0.422927901,6,in,-0.422927901
156,25,HAPPY,Novel,CHEEK,1.086407335,6,in,1.086407335
157,25,NEUTRAL,Competitor,BROW,0.142563981,8,in,0.142563981
158,25,NEUTRAL,Competitor,CHEEK,0.0816412,8,in,0.0816412
159,25,NEUTRAL,Cooperator,BROW,0.294770187,7,in,0.294770187
160,25,NEUTRAL,Cooperator,CHEEK,0.056013699,7,in,0.056013699
161,25,NEUTRAL,Novel,BROW,0.243467401,8,in,0.243467401
162,25,NEUTRAL,Novel,CHEEK,-0.091054391,8,in,-0.091054391
163,26,ANGRY,Competitor,BROW,0.122372721,4,in,0.122372721
164,26,ANGRY,Competitor,CHEEK,0.929947761,4,in,0.929947761
165,26,ANGRY,Cooperator,BROW,-0.048350258,6,in,-0.048350258
166,26,ANGRY,Cooperator,CHEEK,0.021267953,6,in,0.021267953
167,26,ANGRY,Novel,BROW,-0.514669585,5,in,-0.514669585
168,26,ANGRY,Novel,CHEEK,0.247768404,5,in,0.247768404
169,26,HAPPY,Competitor,BROW,0.092232473,5,in,0.092232473
170,26,HAPPY,Competitor,CHEEK,0.260704783,5,in,0.260704783
171,26,HAPPY,Cooperator,BROW,0.106143357,6,in,0.106143357
172,26,HAPPY,Cooperator,CHEEK,-0.190130299,6,in,-0.190130299
173,26,HAPPY,Novel,BROW,-0.06277452,6,in,-0.06277452
174,26,HAPPY,Novel,CHEEK,0.665877178,6,in,0.665877178
175,26,NEUTRAL,Competitor,BROW,0.061549037,4,in,0.061549037
176,26,NEUTRAL,Competitor,CHEEK,-0.384556465,4,in,-0.384556465
177,26,NEUTRAL,Cooperator,BROW,0.251531966,4,in,0.251531966
178,26,NEUTRAL,Cooperator,CHEEK,0.002884507,4,in,0.002884507
179,26,NEUTRAL,Novel,BROW,0.097674278,7,in,0.097674278
180,26,NEUTRAL,Novel,CHEEK,0.090281486,7,in,0.090281486
181,28,ANGRY,Competitor,BROW,0.457033883,7,in,0.457033883
182,28,ANGRY,Competitor,CHEEK,0.177855509,7,in,0.177855509
183,28,ANGRY,Cooperator,BROW,0.625224962,8,in,0.625224962
184,28,ANGRY,Cooperator,CHEEK,-0.391387941,8,in,-0.391387941
185,28,ANGRY,Novel,BROW,0.103257898,8,in,0.103257898
186,28,ANGRY,Novel,CHEEK,0.088641605,8,in,0.088641605
187,28,HAPPY,Competitor,BROW,-0.083771418,8,in,-0.083771418
188,28,HAPPY,Competitor,CHEEK,0.125419934,8,in,0.125419934
189,28,HAPPY,Cooperator,BROW,0.137553929,7,in,0.137553929
190,28,HAPPY,Cooperator,CHEEK,0.372512862,7,in,0.372512862
191,28,HAPPY,Novel,BROW,-0.474784461,7,in,-0.474784461
192,28,HAPPY,Novel,CHEEK,-0.145752757,7,in,-0.145752757
193,28,NEUTRAL,Competitor,BROW,0.001975187,6,in,0.001975187
194,28,NEUTRAL,Competitor,CHEEK,0.053234634,6,in,0.053234634
195,28,NEUTRAL,Cooperator,BROW,0.48930252,6,in,0.48930252
196,28,NEUTRAL,Cooperator,CHEEK,0.141941027,6,in,0.141941027
197,28,NEUTRAL,Novel,BROW,0.002623431,6,in,0.002623431
198,28,NEUTRAL,Novel,CHEEK,0.638837205,6,in,0.638837205
199,29,ANGRY,Competitor,BROW,-0.024909922,5,in,-0.024909922
200,29,ANGRY,Competitor,CHEEK,-0.023584397,5,in,-0.023584397
201,29,ANGRY,Cooperator,BROW,0.191210603,4,in,0.191210603
202,29,ANGRY,Cooperator,CHEEK,0.171208745,4,in,0.171208745
203,29,ANGRY,Novel,BROW,-0.126249269,5,in,-0.126249269
204,29,ANGRY,Novel,CHEEK,-0.040356218,5,in,-0.040356218
205,29,HAPPY,Competitor,BROW,0.208482931,7,in,0.208482931
206,29,HAPPY,Competitor,CHEEK,0.112036809,7,in,0.112036809
207,29,HAPPY,Cooperator,BROW,-0.351160548,6,in,-0.351160548
208,29,HAPPY,Cooperator,CHEEK,0.171740471,6,in,0.171740471
209,29,HAPPY,Novel,BROW,0.161754891,7,in,0.161754891
210,29,HAPPY,Novel,CHEEK,0.056305486,7,in,0.056305486
211,29,NEUTRAL,Competitor,BROW,0.110905559,6,in,0.110905559
212,29,NEUTRAL,Competitor,CHEEK,0.20230907,6,in,0.20230907
213,29,NEUTRAL,Cooperator,BROW,-0.245457578,7,in,-0.245457578
214,29,NEUTRAL,Cooperator,CHEEK,0.043071014,7,in,0.043071014
215,29,NEUTRAL,Novel,BROW,-0.383636202,6,in,-0.383636202
216,29,NEUTRAL,Novel,CHEEK,-0.130243415,6,in,-0.130243415
217,30,ANGRY,Competitor,BROW,-0.071842418,7,in,-0.071842418
218,30,ANGRY,Competitor,CHEEK,-0.175711116,7,in,-0.175711116
219,30,ANGRY,Cooperator,BROW,-0.017603339,6,in,-0.017603339
220,30,ANGRY,Cooperator,CHEEK,0.502286243,6,in,0.502286243
221,30,ANGRY,Novel,BROW,1.140300288,6,in,1.140300288
222,30,ANGRY,Novel,CHEEK,1.04252474,6,in,1.04252474
223,30,HAPPY,Competitor,BROW,-0.16290876,6,in,-0.16290876
224,30,HAPPY,Competitor,CHEEK,-0.042982503,6,in,-0.042982503
225,30,HAPPY,Cooperator,BROW,-0.034764701,8,in,-0.034764701
226,30,HAPPY,Cooperator,CHEEK,0.00619141,8,in,0.00619141
227,30,HAPPY,Novel,BROW,-0.288135767,5,in,-0.288135767
228,30,HAPPY,Novel,CHEEK,-0.02657744,5,in,-0.02657744
229,30,NEUTRAL,Competitor,BROW,-0.114562717,6,in,-0.114562717
230,30,NEUTRAL,Competitor,CHEEK,0.019090179,6,in,0.019090179
231,30,NEUTRAL,Cooperator,BROW,0.268032097,4,in,0.268032097
232,30,NEUTRAL,Cooperator,CHEEK,0.459283102,4,in,0.459283102
233,30,NEUTRAL,Novel,BROW,-0.004259823,6,in,-0.004259823
234,30,NEUTRAL,Novel,CHEEK,0.29140249,6,in,0.29140249
235,32,ANGRY,Competitor,BROW,0.509241261,6,in,0.509241261
236,32,ANGRY,Competitor,CHEEK,0.243300155,6,in,0.243300155
237,32,ANGRY,Cooperator,BROW,0.239588695,4,in,0.239588695
238,32,ANGRY,Cooperator,CHEEK,0.074389148,4,in,0.074389148
239,32,ANGRY,Novel,BROW,-0.050977394,5,in,-0.050977394
240,32,ANGRY,Novel,CHEEK,-0.153136491,5,in,-0.153136491
241,32,HAPPY,Competitor,BROW,-0.010059322,4,in,-0.010059322
242,32,HAPPY,Competitor,CHEEK,0.3027011,4,in,0.3027011
243,32,HAPPY,Cooperator,BROW,-0.190426146,6,in,-0.190426146
244,32,HAPPY,Cooperator,CHEEK,-0.528718224,6,in,-0.528718224
245,32,HAPPY,Novel,BROW,-0.172286155,4,in,-0.172286155
246,32,HAPPY,Novel,CHEEK,-0.052734563,4,in,-0.052734563
247,32,NEUTRAL,Competitor,BROW,0.488741144,3,out,NA
248,32,NEUTRAL,Competitor,CHEEK,0.331146519,3,out,NA
249,32,NEUTRAL,Cooperator,BROW,0.152121596,4,in,0.152121596
250,32,NEUTRAL,Cooperator,CHEEK,0.558169477,4,in,0.558169477
251,32,NEUTRAL,Novel,BROW,-0.227317348,2,out,NA
252,32,NEUTRAL,Novel,CHEEK,0.113463631,2,out,NA
253,35,ANGRY,Competitor,BROW,0.118094511,7,in,0.118094511
254,35,ANGRY,Competitor,CHEEK,-0.168182853,7,in,-0.168182853
255,35,ANGRY,Cooperator,BROW,-0.424101071,4,in,-0.424101071
256,35,ANGRY,Cooperator,CHEEK,-0.253597269,4,in,-0.253597269
257,35,ANGRY,Novel,BROW,0.023460055,4,in,0.023460055
258,35,ANGRY,Novel,CHEEK,-0.259809128,4,in,-0.259809128
259,35,HAPPY,Competitor,BROW,-0.445651157,4,in,-0.445651157
260,35,HAPPY,Competitor,CHEEK,-0.133018948,4,in,-0.133018948
261,35,HAPPY,Cooperator,BROW,-0.12390691,4,in,-0.12390691
262,35,HAPPY,Cooperator,CHEEK,-0.09108755,4,in,-0.09108755
263,35,HAPPY,Novel,BROW,0.2130621,1,out,NA
264,35,HAPPY,Novel,CHEEK,0.372331168,1,out,NA
265,35,NEUTRAL,Competitor,BROW,-0.156514938,5,in,-0.156514938
266,35,NEUTRAL,Competitor,CHEEK,0.212574249,5,in,0.212574249
267,35,NEUTRAL,Cooperator,BROW,0.13101166,6,in,0.13101166
268,35,NEUTRAL,Cooperator,CHEEK,0.064392615,6,in,0.064392615
269,35,NEUTRAL,Novel,BROW,0.026411731,6,in,0.026411731
270,35,NEUTRAL,Novel,CHEEK,-0.01421742,6,in,-0.01421742
271,37,ANGRY,Competitor,BROW,0.270124844,7,in,0.270124844
272,37,ANGRY,Competitor,CHEEK,-0.599195601,7,in,-0.599195601
273,37,ANGRY,Cooperator,BROW,0.385059718,6,in,0.385059718
274,37,ANGRY,Cooperator,CHEEK,-0.422352836,6,in,-0.422352836
275,37,ANGRY,Novel,BROW,0.45951007,8,in,0.45951007
276,37,ANGRY,Novel,CHEEK,-0.151338996,8,in,-0.151338996
277,37,HAPPY,Competitor,BROW,0.392367728,4,in,0.392367728
278,37,HAPPY,Competitor,CHEEK,-0.029864822,4,in,-0.029864822
279,37,HAPPY,Cooperator,BROW,-0.246843191,4,in,-0.246843191
280,37,HAPPY,Cooperator,CHEEK,0.06198051,4,in,0.06198051
281,37,HAPPY,Novel,BROW,0.376960288,6,in,0.376960288
282,37,HAPPY,Novel,CHEEK,0.456231551,6,in,0.456231551
283,37,NEUTRAL,Competitor,BROW,0.10502949,6,in,0.10502949
284,37,NEUTRAL,Competitor,CHEEK,0.050578692,6,in,0.050578692
285,37,NEUTRAL,Cooperator,BROW,0.310786174,3,out,NA
286,37,NEUTRAL,Cooperator,CHEEK,1.016629205,3,out,NA
287,37,NEUTRAL,Novel,BROW,0.596783628,5,in,0.596783628
288,37,NEUTRAL,Novel,CHEEK,-0.032310824,5,in,-0.032310824
289,38,ANGRY,Competitor,BROW,0.206777558,3,out,NA
290,38,ANGRY,Competitor,CHEEK,-0.103900579,3,out,NA
291,38,ANGRY,Cooperator,BROW,0.008955074,4,in,0.008955074
292,38,ANGRY,Cooperator,CHEEK,-0.707110353,4,in,-0.707110353
293,38,ANGRY,Novel,BROW,0.144962234,6,in,0.144962234
294,38,ANGRY,Novel,CHEEK,-0.847363266,6,in,-0.847363266
295,38,HAPPY,Competitor,BROW,0.310180181,6,in,0.310180181
296,38,HAPPY,Competitor,CHEEK,0.469721796,6,in,0.469721796
297,38,HAPPY,Cooperator,BROW,-0.296174034,3,out,NA
298,38,HAPPY,Cooperator,CHEEK,-0.026774804,3,out,NA
299,38,HAPPY,Novel,BROW,-0.454901134,5,in,-0.454901134
300,38,HAPPY,Novel,CHEEK,0.050056843,5,in,0.050056843
301,38,NEUTRAL,Competitor,BROW,-0.341242104,5,in,-0.341242104
302,38,NEUTRAL,Competitor,CHEEK,-0.088762198,5,in,-0.088762198
303,38,NEUTRAL,Cooperator,BROW,0.18069551,6,in,0.18069551
304,38,NEUTRAL,Cooperator,CHEEK,0.010487488,6,in,0.010487488
305,38,NEUTRAL,Novel,BROW,0.145108585,5,in,0.145108585
306,38,NEUTRAL,Novel,CHEEK,0.006034212,5,in,0.006034212
307,40,ANGRY,Competitor,BROW,0.457935351,7,in,0.457935351
308,40,ANGRY,Competitor,CHEEK,-0.035725935,7,in,-0.035725935
309,40,ANGRY,Cooperator,BROW,0.509967511,7,in,0.509967511
310,40,ANGRY,Cooperator,CHEEK,0.200826879,7,in,0.200826879
311,40,ANGRY,Novel,BROW,-0.172819261,7,in,-0.172819261
312,40,ANGRY,Novel,CHEEK,-0.159496347,7,in,-0.159496347
313,40,HAPPY,Competitor,BROW,0.230323898,5,in,0.230323898
314,40,HAPPY,Competitor,CHEEK,0.012515137,5,in,0.012515137
315,40,HAPPY,Cooperator,BROW,0.127635629,5,in,0.127635629
316,40,HAPPY,Cooperator,CHEEK,0.243390268,5,in,0.243390268
317,40,HAPPY,Novel,BROW,-0.243513363,6,in,-0.243513363
318,40,HAPPY,Novel,CHEEK,0.237912612,6,in,0.237912612
319,40,NEUTRAL,Competitor,BROW,-0.081139396,6,in,-0.081139396
320,40,NEUTRAL,Competitor,CHEEK,-0.052264687,6,in,-0.052264687
321,40,NEUTRAL,Cooperator,BROW,-0.246174256,5,in,-0.246174256
322,40,NEUTRAL,Cooperator,CHEEK,-1.283629495,5,in,-1.283629495
323,40,NEUTRAL,Novel,BROW,-0.218292378,6,in,-0.218292378
324,40,NEUTRAL,Novel,CHEEK,-0.164704737,6,in,-0.164704737
325,41,ANGRY,Competitor,BROW,-0.002551765,8,in,-0.002551765
326,41,ANGRY,Competitor,CHEEK,0.062293756,8,in,0.062293756
327,41,ANGRY,Cooperator,BROW,0.130240072,8,in,0.130240072
328,41,ANGRY,Cooperator,CHEEK,-0.305002998,8,in,-0.305002998
329,41,ANGRY,Novel,BROW,-0.152840996,8,in,-0.152840996
330,41,ANGRY,Novel,CHEEK,-0.022221013,8,in,-0.022221013
331,41,HAPPY,Competitor,BROW,-0.049696134,8,in,-0.049696134
332,41,HAPPY,Competitor,CHEEK,0.024890431,8,in,0.024890431
333,41,HAPPY,Cooperator,BROW,-0.184412831,7,in,-0.184412831
334,41,HAPPY,Cooperator,CHEEK,-0.082654361,7,in,-0.082654361
335,41,HAPPY,Novel,BROW,-0.01421277,6,in,-0.01421277
336,41,HAPPY,Novel,CHEEK,0.009497209,6,in,0.009497209
337,41,NEUTRAL,Competitor,BROW,-0.088596566,6,in,-0.088596566
338,41,NEUTRAL,Competitor,CHEEK,-0.049919369,6,in,-0.049919369
339,41,NEUTRAL,Cooperator,BROW,0.074651628,7,in,0.074651628
340,41,NEUTRAL,Cooperator,CHEEK,-0.038324086,7,in,-0.038324086
341,41,NEUTRAL,Novel,BROW,-0.165202487,7,in,-0.165202487
342,41,NEUTRAL,Novel,CHEEK,-0.254014918,7,in,-0.254014918
343,42,ANGRY,Competitor,BROW,-0.516925989,3,out,NA
344,42,ANGRY,Competitor,CHEEK,-0.438247938,3,out,NA
345,42,ANGRY,Cooperator,BROW,0.010227917,0,out,NA
346,42,ANGRY,Cooperator,CHEEK,-0.057022916,0,out,NA
347,42,ANGRY,Novel,BROW,0.064846439,5,in,0.064846439
348,42,ANGRY,Novel,CHEEK,-0.15239916,5,in,-0.15239916
349,42,HAPPY,Competitor,BROW,0.48619163,1,out,NA
350,42,HAPPY,Competitor,CHEEK,0.31079375,1,out,NA
351,42,HAPPY,Cooperator,BROW,0.01687461,4,in,0.01687461
352,42,HAPPY,Cooperator,CHEEK,0.530193814,4,in,0.530193814
353,42,HAPPY,Novel,BROW,-0.03724969,5,in,-0.03724969
354,42,HAPPY,Novel,CHEEK,-0.388378819,5,in,-0.388378819
355,42,NEUTRAL,Competitor,BROW,-0.186344279,4,in,-0.186344279
356,42,NEUTRAL,Competitor,CHEEK,-0.451204362,4,in,-0.451204362
357,42,NEUTRAL,Cooperator,BROW,0.726645134,1,out,NA
358,42,NEUTRAL,Cooperator,CHEEK,0.516340467,1,out,NA
359,42,NEUTRAL,Novel,BROW,0.981438611,0,out,NA
360,42,NEUTRAL,Novel,CHEEK,0.286499685,0,out,NA
361,43,ANGRY,Competitor,BROW,0.532867198,4,in,0.532867198
362,43,ANGRY,Competitor,CHEEK,0.119088029,4,in,0.119088029
363,43,ANGRY,Cooperator,BROW,0.228232207,6,in,0.228232207
364,43,ANGRY,Cooperator,CHEEK,0.502447816,6,in,0.502447816
365,43,ANGRY,Novel,BROW,0.237444478,5,in,0.237444478
366,43,ANGRY,Novel,CHEEK,0.795436362,5,in,0.795436362
367,43,HAPPY,Competitor,BROW,0.026080365,4,in,0.026080365
368,43,HAPPY,Competitor,CHEEK,-0.034388037,4,in,-0.034388037
369,43,HAPPY,Cooperator,BROW,-0.087550773,7,in,-0.087550773
370,43,HAPPY,Cooperator,CHEEK,-0.174481762,7,in,-0.174481762
371,43,HAPPY,Novel,BROW,0.209393164,6,in,0.209393164
372,43,HAPPY,Novel,CHEEK,0.285787415,6,in,0.285787415
373,43,NEUTRAL,Competitor,BROW,-0.895333284,4,in,-0.895333284
374,43,NEUTRAL,Competitor,CHEEK,-0.135436912,4,in,-0.135436912
