"","direction","group","detailtype","mean","stdev","n","stderr","groupnew"
"1","future","control","episodic",9.46428571428571,4.04128823297851,28,0.763731688628057,"control group"
"2","future","control","semantic",4.57142857142857,2.3480263016473,28,0.443735261856964,"control group"
"3","future","induction","episodic",9.37931034482759,3.61952831480497,29,0.672129534459123,"induction group"
"4","future","induction","semantic",4.68965517241379,2.85486362291069,29,0.530134865905763,"induction group"
"5","past","control","episodic",11.1785714285714,6.67251727404933,28,1.26098723756551,"control group"
"6","past","control","semantic",5.5,5.53440418018323,28,1.04590407969151,"control group"
"7","past","induction","episodic",12.551724137931,4.61817996692383,29,0.857574490720406,"induction group"
"8","past","induction","semantic",4.20689655172414,3.4782929962106,29,0.645902794210198,"induction group"
